Time of Day,Day 1,Day 2,Day 3,Mean times played,SD
06:00,10,11,9,10,1
07:00,14,12,18,14.66666667,3.055050463
08:00,13,12,13,12.66666667,0.577350269
09:00,2,3,4,3,1
10:00,1,1,2,1.333333333,0.577350269
11:00,1,0,3,1.333333333,1.527525232
12:00,0,0,1,0.333333333,0.577350269
13:00,3,0,0,1,1.732050808
14:00,6,2,4,4,2
15:00,15,30,20,21.66666667,7.637626158
16:00,2,12,14,9.333333333,6.429100507
17:00,1,4,5,3.333333333,2.081665999
18:00,20,22,23,21.66666667,1.527525232
19:00,22,20,23,21.66666667,1.527525232
20:00,6,5,14,8.333333333,4.932882862
21:00,3,3,2,2.666666667,0.577350269
22:00,2,2,1,1.666666667,0.577350269
23:00,16,12,20,16,4
00:00,12,12,16,13.33333333,2.309401077
